fid,COUNTYFP,GEOID,NAME,INTPTLAT,INTPTLON,urban_rural_income_county,urban_rural_income_median_income,urban_rural_income_NCHSURCodes2013_cbsa_title,urban_rural_income_NCHSURCodes2013_cbsa_2012_pop,urban_rural_income_NCHSURCodes2013_county_2012_pop,urban_rural_income_NCHSURCodes2013_2013_code
"1","053","21053",Clinton,"+36.7272577","-085.1360977",Clinton County,"32184",,,"10285","6"
"2","003","21003",Allen,"+36.7507703","-086.1924580",Allen County,"44036",Bowling Green,"162231","20210","4"
"3","231","21231",Wayne,"+36.8007715","-084.8265896",Wayne County,"34914",,,"20824","6"
"4","209","21209",Scott,"+38.2857099","-084.5783405",Scott County,"70817",Lexington,"485023","49057","3"
"5","061","21061",Edmonson,"+37.2275136","-086.2180153",Edmonson County,"43401",Bowling Green,"162231","12071","4"
"6","001","21001",Adair,"+37.1055589","-085.2813796",Adair County,"38021",,,"18675","6"
"7","077","21077",Gallatin,"+38.7601027","-084.8621525",Gallatin County,"52167",Cincinnati,"2128603","8479","2"
"8","097","21097",Harrison,"+38.4445776","-084.3341313",Harrison County,"48438",,,"18624","6"
"9","017","21017",Bourbon,"+38.2025623","-084.2098602",Bourbon County,"49637",Lexington,"485023","19978","3"
"10","193","21193",Perry,"+37.2412822","-083.2177723",Perry County,"33640",,,"28241","6"
"11","055","21055",Crittenden,"+37.3581494","-088.1050103",Crittenden County,"45244",,,"9280","6"
"12","119","21119",Knott,"+37.3543684","-082.9525461",Knott County,"31198",,,"16124","6"
"13","127","21127",Lawrence,"+38.0744531","-082.7382903",Lawrence County,"32798",,,"15848","6"
"14","175","21175",Morgan,"+37.9229402","-083.2589444",Morgan County,"36134",,,"13668","6"
"15","177","21177",Muhlenberg,"+37.2138159","-087.1340919",Muhlenberg County,"43590",,,"31181","6"
"16","087","21087",Green,"+37.2753816","-085.5784829",Green County,"35899",,,"11315","6"
"17","237","21237",Wolfe,"+37.7438929","-083.4951095",Wolfe County,"24623",,,"7164","6"
"18","201","21201",Robertson,"+38.5134727","-084.0642300",Robertson County,"41902",,,"2188","6"
"19","129","21129",Lee,"+37.6081160","-083.7192475",Lee County,"25275",,,"7706","6"
"20","117","21117",Kenton,"+38.9305031","-084.5334381",Kenton County,"64339",Cincinnati,"2128603","161711","2"
"21","151","21151",Madison,"+37.7255107","-084.2783618",Madison County,"50060",Richmond-Berea,"101792","84786","5"
"22","159","21159",Martin,"+37.7967740","-082.5066231",Martin County,"41013",,,"12743","6"
"23","189","21189",Owsley,"+37.4236223","-083.6916370",Owsley County,"30284",,,"4722","6"
"24","051","21051",Clay,"+37.1642731","-083.7154733",Clay County,"26840",,,"21556","6"
"25","095","21095",Harlan,"+36.8592233","-083.2214968",Harlan County,"26478",,,"28543","6"
"26","063","21063",Elliott,"+38.1168826","-083.0961160",Elliott County,"32306",,,"7780","6"
"27","067","21067",Fayette,"+38.0406751","-084.4582743",Fayette County,"57291",Lexington,"485023","305489","3"
"28","091","21091",Hancock,"+37.8433252","-086.7927612",Hancock County,"57217",Owensboro,"116030","8677","4"
"29","059","21059",Daviess,"+37.7316710","-087.0871390",Daviess County,"51673",Owensboro,"116030","97847","4"
"30","197","21197",Powell,"+37.8099073","-083.8313543",Powell County,"37469",,,"12483","6"
"31","083","21083",Graves,"+36.7233435","-088.6498974",Graves County,"44043",Mayfield,"37544","37544","5"
"32","113","21113",Jessamine,"+37.8732908","-084.5839603",Jessamine County,"58245",Lexington,"485023","49635","3"
"33","171","21171",Monroe,"+36.7140770","-085.7135080",Monroe County,"34879",,,"10821","6"
"34","081","21081",Grant,"+38.6491670","-084.6259245",Grant County,"48714",Cincinnati,"2128603","24485","2"
"35","217","21217",Taylor,"+37.3662101","-085.3280585",Taylor County,"44522",Campbellsville,"24691","24691","5"
"36","089","21089",Greenup,"+38.5635616","-082.9338199",Greenup County,"51655","Huntington-Ashland,","364665","36707","3"
"37","101","21101",Henderson,"+37.7925421","-087.5725767",Henderson County,"48926",Evansville,"313433","46513","3"
"38","141","21141",Logan,"+36.8596070","-086.8812881",Logan County,"48014",,,"26646","6"
"39","031","21031",Butler,"+37.2070133","-086.6824707",Butler County,"41763",Bowling Green,"162231","12840","4"
"40","071","21071",Floyd,"+37.5524560","-082.7397239",Floyd County,"32730",,,"38949","6"
"41","021","21021",Boyle,"+37.6181043","-084.8683523",Boyle County,"46382",Danville,"53119","28658","5"
"42","065","21065",Estill,"+37.6924493","-083.9639825",Estill County,"31688",,,"14493","6"
"43","029","21029",Bullitt,"+37.9699446","-085.7026357",Bullitt County,"63348",Louisville,"1251351","75896","2"
"44","015","21015",Boone,"+38.9589002","-084.7363707",Boone County,"78327",Cincinnati,"2128603","123316","2"
"45","229","21229",Washington,"+37.7542085","-085.1754162",Washington County,"53743",,,"11833","6"
"46","039","21039",Carlisle,"+36.8571800","-088.9766140",Carlisle County,"45109",,,"5034","6"
