fips,county,median_income
001,Adair County,38021
003,Allen County,44036
005,Anderson County,55334
007,Ballard County,45048
009,Barren County,41459
011,Bath County,44898
013,Bell County,26272
015,Boone County,78327
017,Bourbon County,49637
019,Boyd County,48308
021,Boyle County,46382
023,Bracken County,49158
025,Breathitt County,27344
027,Breckinridge County,47190
029,Bullitt County,63348
031,Butler County,41763
033,Caldwell County,44775
035,Calloway County,42273
037,Campbell County,63050
039,Carlisle County,45109
041,Carroll County,43524
043,Carter County,34736
045,Casey County,34819
047,Christian County,43919
049,Clark County,54953
051,Clay County,26840
053,Clinton County,32184
055,Crittenden County,45244
057,Cumberland County,35344
059,Daviess County,51673
061,Edmonson County,43401
063,Elliott County,32306
065,Estill County,31688
067,Fayette County,57291
069,Fleming County,44612
071,Floyd County,32730
073,Franklin County,56274
075,Fulton County,30114
077,Gallatin County,52167
079,Garrard County,52631
081,Grant County,48714
083,Graves County,44043
085,Grayson County,38612
087,Green County,35899
089,Greenup County,51655
091,Hancock County,57217
093,Hardin County,54367
095,Harlan County,26478
097,Harrison County,48438
099,Hart County,38396
101,Henderson County,48926
103,Henry County,53926
105,Hickman County,42929
107,Hopkins County,47170
109,Jackson County,32138
111,Jefferson County,56586
113,Jessamine County,58245
115,Johnson County,37055
117,Kenton County,64339
119,Knott County,31198
121,Knox County,30181
123,Larue County,47643
125,Laurel County,41526
127,Lawrence County,32798
129,Lee County,25275
131,Leslie County,31627
133,Letcher County,29886
135,Lewis County,31147
137,Lincoln County,42919
139,Livingston County,50839
141,Logan County,48014
143,Lyon County,52528
151,Madison County,50060
153,Magoffin County,28147
155,Marion County,40107
157,Marshall County,55113
159,Martin County,41013
161,Mason County,45377
145,Mccracken County,46080
147,Mccreary County,28105
149,Mclean County,51861
163,Meade County,56603
165,Menifee County,39325
167,Mercer County,55093
169,Metcalfe County,37386
171,Monroe County,34879
173,Montgomery County,45516
175,Morgan County,36134
177,Muhlenberg County,43590
179,Nelson County,60127
181,Nicholas County,38149
183,Ohio County,45564
185,Oldham County,99128
187,Owen County,48801
189,Owsley County,30284
191,Pendleton County,54375
193,Perry County,33640
195,Pike County,34856
197,Powell County,37469
199,Pulaski County,39998
201,Robertson County,41902
203,Rockcastle County,35720
205,Rowan County,38230
207,Russell County,38390
209,Scott County,70817
211,Shelby County,67056
213,Simpson County,48623
215,Spencer County,80166
217,Taylor County,44522
219,Todd County,44005
221,Trigg County,50536
223,Trimble County,53056
225,Union County,46673
227,Warren County,52270
229,Washington County,53743
231,Wayne County,34914
233,Webster County,42119
235,Whitley County,39005
237,Wolfe County,24623
239,Woodford County,63820
