fips,county,pop_2019
001,Adair County,19202
003,Allen County,21315
005,Anderson County,22747
007,Ballard County,7888
009,Barren County,44249
011,Bath County,12500
013,Bell County,26032
015,Boone County,133581
017,Bourbon County,19788
019,Boyd County,46718
021,Boyle County,30060
023,Bracken County,8303
025,Breathitt County,12630
027,Breckinridge County,20477
029,Bullitt County,81676
031,Butler County,12879
033,Caldwell County,12747
035,Calloway County,39001
037,Campbell County,93584
039,Carlisle County,4760
041,Carroll County,10631
043,Carter County,26797
045,Casey County,16159
047,Christian County,70461
049,Clark County,36263
051,Clay County,19901
053,Clinton County,10218
055,Crittenden County,8806
057,Cumberland County,6614
059,Daviess County,101511
061,Edmonson County,12150
063,Elliott County,7517
065,Estill County,14106
067,Fayette County,323152
069,Fleming County,14581
071,Floyd County,35589
073,Franklin County,50991
075,Fulton County,5969
077,Gallatin County,8869
079,Garrard County,17666
081,Grant County,25069
083,Graves County,37266
085,Grayson County,26427
087,Green County,10941
089,Greenup County,35098
091,Hancock County,8722
093,Hardin County,110958
095,Harlan County,26010
097,Harrison County,18886
099,Hart County,19035
101,Henderson County,45210
103,Henry County,16126
105,Hickman County,4380
107,Hopkins County,44686
109,Jackson County,13329
111,Jefferson County,766757
113,Jessamine County,54115
115,Johnson County,22188
117,Kenton County,166998
119,Knott County,14806
121,Knox County,31145
123,Larue County,14398
125,Laurel County,60813
127,Lawrence County,15317
129,Lee County,7403
131,Leslie County,9877
133,Letcher County,21553
135,Lewis County,13275
137,Lincoln County,24549
139,Livingston County,9194
141,Logan County,27102
143,Lyon County,8210
151,Madison County,92987
153,Magoffin County,12161
155,Marion County,19273
157,Marshall County,31100
159,Martin County,11195
161,Mason County,17070
145,McCracken County,65418
147,McCreary County,17231
149,Mclean County,9207
163,Meade County,28572
165,Menifee County,6489
167,Mercer County,21933
169,Metcalfe County,10071
171,Monroe County,10650
173,Montgomery County,28157
175,Morgan County,13309
177,Muhlenberg County,30622
179,Nelson County,46233
181,Nicholas County,7269
183,Ohio County,23994
185,Oldham County,66799
187,Owen County,10901
189,Owsley County,4415
191,Pendleton County,14590
193,Perry County,25758
195,Pike County,57876
197,Powell County,12359
199,Pulaski County,64979
201,Robertson County,2108
203,Rockcastle County,16695
205,Rowan County,24460
207,Russell County,17923
209,Scott County,57004
211,Shelby County,49024
213,Simpson County,18572
215,Spencer County,19351
217,Taylor County,25769
219,Todd County,12294
221,Trigg County,14651
223,Trimble County,8471
225,Union County,14381
227,Warren County,132896
229,Washington County,12095
231,Wayne County,20333
233,Webster County,12942
235,Whitley County,36264
237,Wolfe County,7157
239,Woodford County,26734
