fips,county,cbsa_title,cbsa_2012_pop,county_2012_pop,2013_code
001,Adair County,,,18675,6
003,Allen County,Bowling Green,162231,20210,4
005,Anderson County,Frankfort,71532,21728,5
007,Ballard County,Paducah,98539,8333,5
009,Barren County,Glasgow,52600,42631,5
011,Bath County,Mount Sterling,44924,11802,5
013,Bell County,Middlesborough,28183,28183,5
015,Boone County,Cincinnati,2128603,123316,2
017,Bourbon County,Lexington,485023,19978,3
019,Boyd County,Huntington-Ashland,364665,49164,3
021,Boyle County,Danville,53119,28658,5
023,Bracken County,Cincinnati,2128603,8494,2
025,Breathitt County,,,13635,6
027,Breckinridge County,,,20071,6
029,Bullitt County,Louisville,1251351,75896,2
031,Butler County,Bowling Green,162231,12840,4
033,Caldwell County,,,12935,6
035,Calloway County,Murray,37655,37655,5
037,Campbell County,Cincinnati,2128603,90908,2
039,Carlisle County,,,5034,6
041,Carroll County,,,10900,6
043,Carter County,,,27348,6
045,Casey County,,,16082,6
047,Christian County,Clarksville,274342,75427,3
049,Clark County,Lexington,485023,35787,3
051,Clay County,,,21556,6
053,Clinton County,,,10285,6
055,Crittenden County,,,9280,6
057,Cumberland County,,,6819,6
059,Daviess County,Owensboro,116030,97847,4
061,Edmonson County,Bowling Green,162231,12071,4
063,Elliott County,,,7780,6
065,Estill County,,,14493,6
067,Fayette County,Lexington,485023,305489,3
069,Fleming County,,,14560,6
071,Floyd County,,,38949,6
073,Franklin County,Frankfort,71532,49804,5
075,Fulton County,Union City,37865,6525,5
077,Gallatin County,Cincinnati,2128603,8479,2
079,Garrard County,,,16913,6
081,Grant County,Cincinnati,2128603,24485,2
083,Graves County,Mayfield,37544,37544,5
085,Grayson County,,,25964,6
087,Green County,,,11315,6
089,Greenup County,"Huntington-Ashland,",364665,36707,3
091,Hancock County,Owensboro,116030,8677,4
093,Hardin County,Elizabethtown,150413,107025,4
095,Harlan County,,,28543,6
097,Harrison County,,,18624,6
099,Hart County,,,18366,6
101,Henderson County,Evansville,313433,46513,3
103,Henry County,Louisville,1251351,15318,2
105,Hickman County,,,4754,6
107,Hopkins County,Madisonville,46718,46718,5
109,Jackson County,,,13331,6
111,Jefferson County,Louisville,1251351,750828,1
113,Jessamine County,Lexington,485023,49635,3
115,Johnson County,,,23383,6
117,Kenton County,Cincinnati,2128603,161711,2
119,Knott County,,,16124,6
121,Knox County,London,126696,31735,5
123,Larue County,Elizabethtown-Fort Knox,150413,14151,4
125,Laurel County,London,126696,59462,5
127,Lawrence County,,,15848,6
129,Lee County,,,7706,6
131,Leslie County,,,11170,6
133,Letcher County,,,23952,6
135,Lewis County,,,13835,6
137,Lincoln County,Danville,53119,24461,5
139,Livingston County,Paducah,98539,9423,5
141,Logan County,,,26646,6
143,Lyon County,,,8351,6
145,McCracken County,Paducah,98539,65549,5
147,McCreary County,,,18069,6
149,McLean County,Owensboro,116030,9506,4
151,Madison County,Richmond-Berea,101792,84786,5
153,Magoffin County,,,13041,6
155,Marion County,,,20090,6
157,Marshall County,,,31344,6
159,Martin County,,,12743,6
161,Mason County,Maysville,17512,17512,5
163,Meade County,Elizabethtown-Fort Knox,150413,29237,4
165,Menifee County,Mount Sterling,44924,6220,5
167,Mercer County,,,21261,6
169,Metcalfe County,Glasgow,52600,9969,5
171,Monroe County,,,10821,6
173,Montgomery County,Mount Sterling,44924,26902,5
175,Morgan County,,,13668,6
177,Muhlenberg County,,,31181,6
179,Nelson County,Bardstown,44319,44319,5
181,Nicholas County,,,7000,6
183,Ohio County,,,24075,6
185,Oldham County,Louisville,1251351,61412,2
187,Owen County,,,10765,6
189,Owsley County,,,4722,6
191,Pendleton County,Cincinnati,2128603,14604,2
193,Perry County,,,28241,6
195,Pike County,,,64178,6
197,Powell County,,,12483,6
199,Pulaski County,Somerset,63593,63593,5
201,Robertson County,,,2188,6
203,Rockcastle County,Richmond-Berea,101792,17006,5
205,Rowan County,,,23447,6
207,Russell County,,,17497,6
209,Scott County,Lexington,485023,49057,3
211,Shelby County,Louisville,1251351,43614,2
213,Simpson County,,,17538,6
215,Spencer County,Louisville,1251351,17416,2
217,Taylor County,Campbellsville,24691,24691,5
219,Todd County,,,12651,6
221,Trigg County,Clarksville,274342,14447,3
223,Trimble County,Louisville,1251351,8787,2
225,Union County,,,14850,6
227,Warren County,Bowling Green,162231,117110,4
229,Washington County,,,11833,6
231,Wayne County,,,20824,6
233,Webster County,,,13583,6
235,Whitley County,London,126696,35499,5
237,Wolfe County,,,7164,6
239,Woodford County,Lexington,485023,25077,3
