State,County,FIPS,Type,Facility,Physical Address,Provider,First Minute (instate),Additional Minutes (instate),15 Minute Call (instate),lat,long,address source,website
Kentucky,Boyd County,019,Federal Prison,FCI Ashland (Low),SR 716 Ashland KY 41105,,,,,38.433568,-82.714635,poi,https://www.bop.gov/locations/institutions/ash/
Kentucky,Clay County,051,Federal Prison,FCI Manchester (Medium),805 Fox Hollow Rd Manchester KY 40962,,,,,37.180407,-83.787746,poi,https://www.bop.gov/locations/institutions/man/
Kentucky,Fayette County,067,Federal Prison,FMC Lexington,3301 Leestown Rd Lexington KY 40511,,,,,38.104617,-84.561791,poi,https://www.bop.gov/locations/institutions/lex/
Kentucky,McCreary County,147,Federal Prison,USP McCreary (High),330 Federal Way Pine Knot KY 42635,,,,,36.68592,-84.38824,poi,https://www.bop.gov/locations/institutions/mcr/
Kentucky,Martin County,159,Federal Prison,USP Big Sandy (High Security),1197 Airport Rd Inez KY 41224,,,,,37.770178,-82.648207,poi,https://www.bop.gov/locations/institutions/bsy/
Kentucky,Adair County,001,Jail,Adair County Regional Jail,204 Greensburg St Columbia KY 42728,,,,,37.10373,-85.30683,online mapping service,http://www.adaircountyregionaljail.com/
Kentucky,Allen County,003,Jail,Allen County Detention Center ,196 W Wood St Scottsville KY 42164,,,,,36.748404,-86.19187,online mapping service,http://www.allencountydetention.com/index2.html
Kentucky,Ballard County,007,Jail,Ballard County Detention Center,132 Mayola Ave Wickliffe KY 42087,,,,,36.97462,-89.08312,online mapping service,http://www.ballardcountydetention.com/
Kentucky,Barren County,009,Jail,Barren County Detention Center,201 Samson St Glasgow KY 42141,Securus,$1.80,$0.30,$6.00,37.00068,-85.91972,online mapping service,http://www.barrencountykyjail.com/
Kentucky,Barren County,009,Jail,Barren County Detention Center,201 Samson St Glasgow KY 42141,,,,,37.00037,-85.91864,online mapping service,http://www.barrencountykyjail.com/
Kentucky,Bell County,013,Jail,Bell County Detention Center,214 Virginia Ave Pineville KY 40977,,,,,36.76231,-83.69679,online mapping service,http://www.bellcountydetention.com/contact_us.html
Kentucky,Boone County,015,Jail,Boone County Jail,3020 Conrad Ln Burlington KY 41005,,,,,39.03628,-84.72869,online mapping service,http://www.boonecountyky.org/
Kentucky,Boyd County,019,Jail,Boyd County Detention Center,209 28th St Catlettsburg KY 41129,Securus,$2.07,$0.32,$6.55,38.41541,-82.59764,online mapping service,http://www.boydcojail.com/
Kentucky,Boyle County,021,Jail,Boyle County Jail,1860 S Danville Bypass Danville KY 40422,,,,,37.62316,-84.79415,online mapping service,none
Kentucky,Breckinridge County,027,Jail,Breckinridge County Jail,500 Glen Nash Ln Hardinsburg KY 40143,,,,,37.78375,-86.47512,online mapping service,none
Kentucky,Bullitt County,029,Jail,Bullitt County Detention Center,1671 Preston Hwy Shepherdsville KY 40165,,,,,37.97137,-85.71226,online mapping service,http://www.bullittdetention.com/
Kentucky,Butler County,031,Jail,Butler County Jail,112 N Warren St Morgantown KY 42261,,,,,37.22535,-86.68294,online mapping service,https://butlercokyjail.com/
Kentucky,Caldwell County,033,Jail,Caldwell County Jail,111 E Market St Princeton KY 42445,Securus,$1.78,$0.28,$5.70,37.10899,-87.88201,online mapping service,http://www.caldwellcountyjail.com/
Kentucky,Calloway County,035,Jail,Calloway County Jail,310 N 4th St Murray KY 42071,,,,,36.61358,-88.30074,online mapping service,http://www.callowaycountyjail.com/
Kentucky,Campbell County,037,Jail,Campbell County Detention Center,601 Central Ave Newport KY 41071,,,,,39.0887,-84.49671,online mapping service,https://ccdc.ky.gov/Pages/index.aspx
Kentucky,Carroll County,041,Jail,Carroll County Detention Center,800 Clay St Carrollton KY 41008,Securus,$3.18,$0.43,$9.20,38.67694,-85.17364,online mapping service,http://www.carrolldetention.com/
Kentucky,Carroll County,041,Jail,Carroll County Detention  ,800 Clay St Carrollton KY 41008,,,,,38.67709,-85.17362,online mapping service,http://www.carrolldetention.com/
Kentucky,Carter County,043,Jail,Carter County Detention Center,13 Crossbar Rd Grayson KY 41143,Securus,$0.75,$0.34,$5.51,38.3314,-82.93777,online mapping service,http://cartercounty.ky.gov/Elected-Officials/Pages/County-Officials.aspx
Kentucky,Casey County,045,Jail,Casey County Detention Center,169 Court House Square Liberty KY 42539,,,,,37.31748,-84.94087,online mapping service,http://www.caseycountyjail.com/
Kentucky,Christian County,047,Jail,Christian Couny Jail,410 W 7th St Hopkinsville KY 42240,,,,,36.86826,-87.49048,online mapping service,http://www.ccjail.org/
Kentucky,Clark County,049,Jail,Clark County Detention Center,30 Wall St Winchester KY 40391,,,,,37.99304,-84.17837,online mapping service,http://www.clarkdetentioncenter.com/
Kentucky,Clay County,051,Jail,Clay County Detention Center,67 Shamrock Rd Manchester KY 40962,Securus,$1.85,$0.35,$6.75,37.13521,-83.76103,online mapping service,http://www.claycountydetention.com/
Kentucky,Clay County,051,Jail,Clay County Detention Center,67 Shamrock Rd Manchester KY 40962,,,,,37.1353,-83.76061,online mapping service,http://www.claycountydetention.com/
